shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20175,39.805345,-86.144787,260001
20175,39.805438,-86.144787,260002
20175,39.805999,-86.144792,260003
20175,39.806784,-86.144798,260004
20175,39.806787,-86.144798,260005
20175,39.806787,-86.144798,270001
20175,39.806883,-86.144794,270002
20175,39.806982,-86.144790,270003
20175,39.807780,-86.144794,270004
20175,39.807832,-86.144796,270005
20175,39.807884,-86.144800,270006
20175,39.808383,-86.144852,270007
20175,39.808539,-86.144873,270008
20175,39.808668,-86.144896,270009
20175,39.808766,-86.144728,270010
20175,39.808828,-86.144626,270011
20175,39.808894,-86.144528,270012
20175,39.808964,-86.144434,270013
20175,39.809036,-86.144345,270014
20175,39.809112,-86.144260,270015
20175,39.809206,-86.144167,270016
20175,39.809303,-86.144080,270017
20175,39.809404,-86.144001,270018
20175,39.809508,-86.143929,270019
20175,39.809615,-86.143865,270020
20175,39.809725,-86.143809,270021
20175,39.809837,-86.143761,270022
20175,39.809951,-86.143721,270023
20175,39.810066,-86.143690,270024
20175,39.810183,-86.143666,270025
20175,39.810300,-86.143652,270026
20175,39.810378,-86.143648,270027
20175,39.810386,-86.143481,270028
20175,39.810397,-86.143339,270029
20175,39.810412,-86.143199,270030
20175,39.810429,-86.143060,270031
20175,39.810604,-86.141828,270032
20175,39.810616,-86.141731,270033
20175,39.810625,-86.141633,270034
20175,39.810859,-86.141643,270035
20175,39.811004,-86.141629,270036
20175,39.811004,-86.141629,280001
20175,39.811231,-86.141607,280002
20175,39.811928,-86.141437,280003
20175,39.813101,-86.141150,280004
20175,39.813101,-86.141150,290001
20175,39.813228,-86.141120,290002
20175,39.814272,-86.140865,290003
20175,39.814272,-86.140865,300001
20175,39.814551,-86.140796,300002
20175,39.814695,-86.140734,300003
20175,39.814933,-86.140445,300004
20175,39.815279,-86.139909,300005
20175,39.815452,-86.139292,300006
20175,39.815452,-86.139292,310001
20175,39.815489,-86.139161,310002
20175,39.815504,-86.139103,310003
20175,39.815515,-86.139045,310004
20175,39.815527,-86.138987,310005
20175,39.815542,-86.138929,310006
20175,39.815734,-86.138270,310007
20175,39.815768,-86.138152,310008
20175,39.815896,-86.137720,310009
20175,39.815896,-86.137720,320001
20175,39.815961,-86.137499,320002
20175,39.816378,-86.136064,320003
20175,39.816388,-86.136031,320004
20175,39.816388,-86.136031,330001
20175,39.816604,-86.135293,330002
20175,39.816942,-86.135137,330003
20175,39.817256,-86.134975,330004
20175,39.817919,-86.134601,330005
20175,39.817919,-86.134601,340001
20175,39.817958,-86.134579,340002
20175,39.817969,-86.134574,340003
20175,39.817982,-86.134571,340004
20175,39.817994,-86.134571,340005
20175,39.818006,-86.134573,340006
20175,39.818018,-86.134577,340007
20175,39.818030,-86.134584,340008
20175,39.818032,-86.134082,340009
20175,39.818034,-86.133347,340010
20175,39.818037,-86.132773,340011
20175,39.818037,-86.132773,350001
20175,39.818037,-86.132614,350002
20175,39.818040,-86.131877,350003
20175,39.818042,-86.131282,350004
20175,39.818042,-86.131282,360001
20175,39.818043,-86.131145,360002
20175,39.818052,-86.129803,360003
20175,39.818052,-86.129803,370001
20175,39.818053,-86.129657,370002
20175,39.818058,-86.128915,370003
20175,39.818063,-86.128173,370004
20175,39.818065,-86.127921,370005
20175,39.818065,-86.127921,380001
20175,39.818072,-86.126946,380002
20175,39.818075,-86.126411,380003
20175,39.818078,-86.125982,380004
20175,39.818078,-86.125982,390001
20175,39.818080,-86.125718,390002
20175,39.818090,-86.124235,390003
20175,39.818090,-86.124235,400001
20175,39.818091,-86.124060,400002
20175,39.818100,-86.122868,400003
20175,39.818108,-86.121672,400004
20175,39.818109,-86.121175,400005
20175,39.818109,-86.121175,410001
20175,39.818112,-86.120260,410002
20175,39.818112,-86.120260,420001
20175,39.818113,-86.120081,420002
20175,39.818116,-86.118938,420003
20175,39.818118,-86.118372,420004
20175,39.818118,-86.118349,420005
20175,39.818118,-86.118349,430001
20175,39.818123,-86.116896,430002
20175,39.818123,-86.116896,440001
20175,39.818123,-86.116716,440002
20175,39.818128,-86.115191,440003
20175,39.818128,-86.115191,450001
20175,39.818128,-86.115061,450002
20175,39.818133,-86.113405,450003
20175,39.818137,-86.112364,450004
20175,39.818137,-86.112364,460001
20175,39.818137,-86.112189,460002
20175,39.818146,-86.109899,460003
20175,39.818147,-86.109737,460004
20175,39.818147,-86.109737,470001
20175,39.818147,-86.109528,470002
20175,39.818151,-86.108548,470003
20175,39.818151,-86.108548,480001
20175,39.818152,-86.108384,480002
20175,39.818155,-86.107572,480003
20175,39.818157,-86.107044,480004
20175,39.818157,-86.107044,490001
20175,39.818157,-86.107044,490002
20175,39.818162,-86.105718,490003
20175,39.818166,-86.104515,490004
20175,39.818166,-86.104515,500001
20175,39.818167,-86.104302,500002
20175,39.818170,-86.103501,500003
20175,39.818173,-86.102877,500004
20175,39.818173,-86.102877,510001
20175,39.818173,-86.102682,510002
20175,39.818187,-86.101412,510003
20175,39.818198,-86.100297,510004
20175,39.818198,-86.100297,520001
20175,39.818199,-86.100163,520002
20175,39.818211,-86.099045,520003
20175,39.818221,-86.098075,520004
20175,39.818221,-86.098075,530001
20175,39.818222,-86.097918,530002
20175,39.818235,-86.096676,530003
20175,39.818248,-86.095356,530004
20175,39.818248,-86.095356,540001
20175,39.818250,-86.095191,540002
20175,39.818253,-86.094915,540003
20175,39.818265,-86.093772,540004
20175,39.818276,-86.092704,540005
20175,39.818276,-86.092704,550001
20175,39.818277,-86.092604,550002
20175,39.818292,-86.091134,550003
20175,39.818299,-86.090403,550004
20175,39.818299,-86.090403,560001
20175,39.818301,-86.090179,560002
20175,39.818314,-86.088957,560003
20175,39.818324,-86.087898,560004
20175,39.818324,-86.087898,570001
20175,39.818326,-86.087733,570002
